"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","PID","START_TIME","trial","responses","view_history","x","y","actor","target_emotion"
"html-keyboard-response","686","2833195","0.0-14.0-0.117","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","687","2839342","0.0-14.0-1.117","","","","","","","","","","","",""
"image-keyboard-response","688","2839844","0.0-14.0-2.117","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","689","2842059","0.0-14.0-3.117","1803.699999988079","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","87","65","",""
"html-keyboard-response","690","2843069","0.0-14.0-0.118","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","691","2848797","0.0-14.0-1.118","","","","","","","","","","","",""
"image-keyboard-response","692","2849303","0.0-14.0-2.118","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","693","2854128","0.0-14.0-3.118","4602.899999976158","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","34","59","",""
"html-keyboard-response","694","2855132","0.0-14.0-0.119","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","695","2860887","0.0-14.0-1.119","","","","","","","","","","","",""
"image-keyboard-response","696","2861396","0.0-14.0-2.119","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","697","2863096","0.0-14.0-3.119","1505.9000000357628","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","24","33","",""
"html-keyboard-response","698","2864098","0.0-14.0-0.120","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","699","2869700","0.0-14.0-1.120","","","","","","","","","","","",""
"image-keyboard-response","700","2870202","0.0-14.0-2.120","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","701","2871553","0.0-14.0-3.120","699.1999999880791","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-75","-52","",""
"html-keyboard-response","702","2872566","0.0-14.0-0.121","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","703","2877867","0.0-14.0-1.121","","","","","","","","","","","",""
"image-keyboard-response","704","2878369","0.0-14.0-2.121","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","705","2880994","0.0-14.0-3.121","2441.399999976158","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-36","-31","",""
"html-keyboard-response","706","2882004","0.0-14.0-0.122","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","707","2887025","0.0-14.0-1.122","","","","","","","","","","","",""
"image-keyboard-response","708","2887529","0.0-14.0-2.122","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","709","2889518","0.0-14.0-3.122","900.3999999761581","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","24","98","",""
"html-keyboard-response","710","2890526","0.0-14.0-0.123","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","711","2895390","0.0-14.0-1.123","","","","","","","","","","","",""
"image-keyboard-response","712","2895894","0.0-14.0-2.123","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","713","2897212","0.0-14.0-3.123","1122.300000011921","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-28","-11","",""
"html-keyboard-response","714","2898226","0.0-14.0-0.124","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","715","2903090","0.0-14.0-1.124","","","","","","","","","","","",""
"image-keyboard-response","716","2903606","0.0-14.0-2.124","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","717","2905229","0.0-14.0-3.124","1347.7999999523163","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-49","30","",""
"html-keyboard-response","718","2906232","0.0-14.0-0.125","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","719","2911028","0.0-14.0-1.125","","","","","","","","","","","",""
"image-keyboard-response","720","2911535","0.0-14.0-2.125","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","721","2912419","0.0-14.0-3.125","649.3999999761581","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-40","-120","",""
"html-keyboard-response","722","2913428","0.0-14.0-0.126","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","723","2919008","0.0-14.0-1.126","","","","","","","","","","","",""
"image-keyboard-response","724","2919521","0.0-14.0-2.126","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","725","2920732","0.0-14.0-3.126","886","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","80","45","",""
"html-keyboard-response","726","2921745","0.0-14.0-0.127","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","727","2926979","0.0-14.0-1.127","","","","","","","","","","","",""
